,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,Sunny_days,Average_internet_Speed,D_1M,T_1M,Peace_Index_2020,Happiness_Index
173,Cambridge,42.3736158,-71.1097335,82.15,54.76,81.48,57.18,70.61,24.22,2395.133333,21.7,236.386875,192576.118,1.77,7.054
174,Brighton,36.0637737,-95.8818853,80.61,50.56,58.33,50.25,62.62,33.12,2395.133333,21.7,236.386875,192576.118,1.77,7.054
175,Edinburgh,55.953252,-3.188267,83.92,58.77,60.64,13.94,75.03,30.51,1427,21.7,236.386875,192576.118,1.77,7.054
176,Pattaya,12.9235557,100.8824551,70.69,19.51,91.46,29.86,46.01,45.52,2395.133333,21.7,236.386875,192576.118,1.77,7.054
177,Leeds,53.8007554,-1.5490774,82.57,63.88,81.48,18.48,78.06,28.91,2395.133333,21.7,236.386875,192576.118,1.77,7.054
178,Bristol,36.5951059,-82.1887444,79.66,39.76,88.89,36.22,67.91,42.71,2395.133333,21.7,236.386875,192576.118,1.77,7.054
179,Liverpool,32.6564981,-115.4763241,81.23,53.78,82.86,55.35,83.14,28.7,2395.133333,21.7,236.386875,192576.118,1.77,7.054
180,Manchester,53.4807593,-2.2426305,81.89,62.31,61.42,0,73,24.2,2395.133333,21.7,236.386875,192576.118,1.77,7.054
181,Newark,40.735657,-74.1723667,84.97,84.39,79.72,62.14,73.21,30.21,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
182,Asheville,35.5950581,-82.5514869,83.17,70.51,79.02,30.55,81.34,30.21,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
183,San Antonio,29.4241219,-98.4936282,83.76,74.78,60.97,59.19,84.88,51.41,2629.2,21.3,236.386875,192576.118,1.905913295,6.141954286
184,Hamilton,37.9426096,-96.195132,81.34,56.52,86.67,81.68,84.83,35.68,2395.133333,21.3,236.386875,192576.118,1.905913295,6.141954286
185,Austin,30.267153,-97.7430608,84.86,69.22,73.61,28.84,86.51,42.5,2643.7,21.3,236.386875,192576.118,1.905913295,6.141954286
186,Tampa,27.950575,-82.4571776,84.27,75.72,56.94,49.89,80.75,60.73,2926.5,21.3,236.386875,192576.118,1.905913295,6.141954286
187,Houston,29.7604267,-95.3698028,85.24,71.96,79.44,65.21,74.08,61.72,2577.9,21.3,236.386875,192576.118,1.905913295,6.141954286
188,Boston,42.3600825,-71.0588801,82.2,59.28,78.04,61.77,82.81,40.69,2633.6,21.3,236.386875,192576.118,1.905913295,6.141954286
189,Nashville,36.1626638,-86.7816016,80.61,80.3,60.3,0,80.5,25.5,2510.1,21.3,236.386875,192576.118,1.905913295,6.141954286
190,Los Angeles,34.0522342,-118.2436849,86.86,62.75,68.61,75.2,62.82,65.74,3254.2,21.3,236.386875,192576.118,1.905913295,6.141954286
