,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,Sunny_days,Average_internet_Speed,D_1M,T_1M,Peace_Index_2020,Happiness_Index
104,Casablanca,43.0371779,-88.1351951,68.27,13.2,53.7,62.97,48.69,38.28,2395.133333,11.2,78,81467,2.057,5.208
105,Utrecht,52.0907374,5.1214201,79.7,49.87,70.9,18.27,72.61,29.76,2395.133333,42.4,393,167519,1.528,7.488
106,Amsterdam,52.3675734,4.9041389,84,47.18,68.06,53.42,72.85,29.76,1662,42.4,393,167519,1.528,7.488
107,The Hague,52.0704978,4.3006999,83.23,68.28,66.74,37.21,79.99,29.76,2395.133333,42.4,393,167519,1.528,7.488
108,Christchurch,-43.5319957,172.6396575,83.36,47.1,83.86,22.2,76.6,51.3,2070.2,27.3,5,205937,1.198,7.307
109,Auckland,-36.8483048,174.7624886,86.43,49.02,71.85,30.03,66.98,50.38,2003.1,27.3,5,205937,1.198,7.307
110,Wellington,-41.2768778,174.7731458,81.06,49.11,73.72,30.55,79.83,27.38,2058.7,27.3,5,205937,1.198,7.307
111,Lagos,6.5243793,3.3792057,72.47,14.91,62.04,26.63,19.48,60.44,1845.4,5.4,5,2775,2.865,5.265
112,Stavanger,58.9699756,5.7331074,79.41,46.59,62.48,29.13,76.5,20.83,2395.133333,48.2,51,220481,1.496,7.554
113,Bergen,40.9262762,-74.07701,80.74,51.24,84.95,18.4,83.76,16.67,1187,48.2,51,220481,1.496,7.554
114,Trondheim,63.4305149,10.3950528,80.36,51.22,81.67,14.53,82.67,19.8,2395.133333,48.2,51,220481,1.496,7.554
115,Oslo,59.9138688,10.7522454,82.09,52.51,88.19,29.39,71.27,35.53,1668,48.2,51,220481,1.496,7.554
116,Muscat,23.5880307,58.3828717,86.3,77.16,62.5,64.65,58.99,50,3493.3,20.3,208,73230,1.941,6.141954286
117,Oxford,51.7520209,-1.2577263,80.94,50.33,66.2,11.48,72.09,24.22,2395.133333,21.59222798,236.386875,192576.118,1.905913295,6.141954286
118,Karachi,24.8607343,67.0011364,67.81,14.63,51.57,69.63,18.5,74.36,2950.3,6.2,30,18195,2.973,5.653
119,Lahore,31.5203696,74.3587473,67.32,12.45,48.94,30.55,28.52,51.98,3034,6.2,30,18195,2.973,5.653
120,Lima,-12.0463731,-77.042754,73.19,23.22,53.7,58.49,22.67,65.31,1230,11.7,1018,127055,2.066,5.697
121,Cebu,10.3156992,123.8854366,66.93,12.9,73.7,35.9,41.21,46.88,2395.133333,7,60,39391,2.471,5.631
122,Manila,14.5995124,120.9842195,68.31,14.8,80.56,65.22,13.14,66.36,2103.1,7,60,39391,2.471,5.631
123,Davao,7.190708,125.455341,69.29,17.63,69,77.98,30.66,17.71,2395.133333,7,60,39391,2.471,5.631
124,Warsaw,52.2296756,21.0122287,76.76,35.77,63.33,86.16,51.82,32.03,1571,17.3,93,104010,1.657,6.182
125,Lodz,51.7592485,19.4559833,73.32,26.37,53.21,37.21,46.29,64.51,2395.133333,17.3,93,104010,1.657,6.182
126,Braga,41.5454486,-8.426507,75.07,30.21,69.71,14.54,69.91,18.12,2395.133333,21.6,212,294181,1.247,5.693
